1	3	0	1	1	101
1	3	1	2	0	101
1	3	2	3	1	104
1	3	3	4	0	104
1	3	4	5	1	103
1	3	5	6	0	103
1	3	6	7	1	102
1	3	7	8	0	102
1	3	8	9	1	-1
1	3	9	10	0	-1
1	3	10	11	1	108
1	3	12	12	0	108
1	3	13	13	1	106
1	3	14	14	0	106
1	3	15	15	1	107
1	3	16	16	0	107
1	3	17	17	1	204
1	3	18	18	0	204
1	3	19	19	1	201
1	3	20	20	0	201
1	3	21	21	1	202
1	3	23	22	0	202
1	3	24	23	1	203
1	3	25	24	0	203
1	3	26	25	1	-1
1	3	27	26	0	-1
1	3	28	27	1	205
1	3	29	28	0	205
1	3	30	29	1	207
1	3	31	30	0	207
1	3	32	31	1	206
1	3	33	32	0	206
1	3	34	33	1	14
1	3	35	34	0	14
1	3	36	35	1	13
1	3	37	36	0	13
1	3	38	37	1	12
1	3	39	38	0	12
1	3	40	39	1	11
1	3	41	40	0	11
1	3	42	41	1	17
1	3	43	42	0	17
1	3	44	43	1	16
1	3	46	44	0	16
1	3	47	45	1	15
1	3	48	46	0	15
1	3	49	47	1	105
1	3	50	48	0	105
1	3	51	49	1	21
1	3	52	50	0	21
1	3	53	51	1	22
1	3	54	52	0	22
1	3	55	53	1	23
1	3	57	54	0	23
1	3	58	55	1	24
1	3	59	56	0	24
1	3	60	57	1	25
1	3	61	58	0	25
1	3	62	59	1	26
1	3	63	60	0	26
1	3	64	61	1	27
1	3	65	62	0	27
1	3	66	63	1	208
1	3	67	64	0	208
